x,y,L,t, 1, 1
0.0, 0.0, 0.0, 13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
not linear mode
not linear mode
0.0, 0.0, 0.0, 37, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
not linear mode
not linear mode
0.0, 0.0, 0.0, 57, -0.05235987755982988, 0.05235987755982988, 0.0, 0.0, 0.0, 0.01663196110724008
not linear mode
not linear mode
-0.02352927315399099, -0.00124038397528955, -0.02356194490192345, 77, -0.1745329251994329, 0.1570796326794897, -0.02352927315399099, -0.00124038397528955, -0.02356194490192345, 0.05266787683959359
not linear mode
not linear mode
-0.02352927315399095, -0.001240383975289546, -0.02356194490192341, 94, -0.3316125578789226, 0.3141592653589793, 3.796336305283121e-17, 3.907375866457939e-18, 3.816391647148976e-17, 0.1025637601613138
not linear mode
not linear mode
-0.04678734944022081, -0.005012271437182677, -0.04712388980384682, 112, -0.5235987755982988, 0.4886921905584122, -0.02325807628622986, -0.003771887461893131, -0.02356194490192341, 0.1607756240366542
not linear mode
not linear mode
-0.04678734944022096, -0.005012271437182712, -0.04712388980384697, 134, -0.7853981633974483, 0.7504915783575616, -1.414028259975869e-16, -3.519401137644656e-17, -1.457167719820518e-16, 0.2439354295728545
not linear mode
not linear mode
-0.04678734944022096, -0.005012271437182712, -0.04712388980384697, 152, -1.012290966156711, 0.9773843811168245, 0.0, 0.0, 0.0, 0.3160072610375616
not linear mode
not linear mode
-0.04678734944022096, -0.005012271437182712, -0.04712388980384697, 172, -1.291543646475804, 1.256637061435917, 0.0, 0.0, 0.0, 0.4047110536095087
not linear mode
not linear mode
-0.04678734944022096, -0.005012271437182712, -0.04712388980384697, 190, -1.53588974175501, 1.500983156715123, 0.0, 0.0, 0.0, 0.4823268721099623
not linear mode
not linear mode
-0.04678734944022121, -0.005012271437182877, -0.04712388980384727, 209, -1.815142422074103, 1.780235837034216, -2.568719634899951e-16, -1.650206159276374e-16, -3.05311331771918e-16, 0.5710306646819095
not linear mode
not linear mode
-0.04678734944022049, -0.005012271437182333, -0.04712388980384636, 226, -2.059488517353309, 2.024581932313422, 7.188505754398587e-16, 5.449396771142574e-16, 9.020562075079397e-16, 0.6486464831823633
not linear mode
not linear mode
0.02333004187194605, 0.05796546587178054, 0.04712388980384636, 246, -2.286381320112572, 2.321287905152458, 0.07011739131216654, 0.06297773730896288, 0.09424777960769273, 0.7318062887185636
not linear mode
not linear mode
0.1526178391246923, 0.1951341260148853, 0.2356194490192342, 268, -2.478367537831948, 2.652900463031381, 0.1292877972527462, 0.1371686601431047, 0.1884955592153879, 0.8149660942547639
not linear mode
not linear mode
0.4482748199459161, 0.5620851427953122, 0.7068583470577034, 295, -2.548180707911721, 3.07177948351002, 0.2956569808212238, 0.3669510167804269, 0.4712388980384691, 0.8925819127552177
not linear mode
not linear mode
0.7013524291771223, 0.9024162520340509, 1.130973355292325, 314, -2.513274122871834, 3.351032163829113, 0.2530776092312062, 0.3403311092387388, 0.424115008234622, 0.9313898220054446
not linear mode
not linear mode
