x,y,L,t, 1, 1
0.0, 0.0, 0.0, 15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
not linear mode
not linear mode
0.0, 0.0, 0.0, 40, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
not linear mode
not linear mode
0.02355750934645473, -0.0004571662202905953, 0.02356194490192345, 62, 0.06981317007977318, -0.05235987755982988, 0.02355750934645473, -0.0004571662202905953, 0.02356194490192345, -0.01940395462511343
not linear mode
not linear mode
0.02355750934645472, -0.0004571662202905949, 0.02356194490192345, 80, 0.1745329251994329, -0.1570796326794897, -6.929272211237027e-18, 3.652878758721763e-19, -6.938893903907228e-18, -0.05266787683959359
not linear mode
not linear mode
0.02355750934645468, -0.0004571662202905912, 0.02356194490192341, 96, 0.3141592653589793, -0.296705972839036, -3.798444196748441e-17, 3.696848504017533e-18, -3.816391647148976e-17, -0.09701977312556714
not linear mode
not linear mode
0.02355750934645476, -0.0004571662202906035, 0.02356194490192348, 117, 0.5410520681182422, -0.5235987755982988, 7.181928294782912e-17, -1.226111765203239e-17, 7.28583859910259e-17, -0.1690916045902742
not linear mode
not linear mode
0.04651338454615795, -0.005766878206540868, 0.04712388980384697, 133, 0.7330382858376185, -0.6981317007977318, 0.0229558751997032, -0.005309711986250266, 0.02356194490192348, -0.2273034684656145
not linear mode
not linear mode
0.04651338454615795, -0.005766878206540868, 0.04712388980384697, 153, 0.9773843811168245, -0.9424777960769379, 0.0, -0.0, 0.0, -0.3049192869660682
not linear mode
not linear mode
0.06829840895173844, -0.0147434008745644, 0.07068583470577044, 172, 1.256637061435917, -1.204277183876087, 0.0217850244055805, -0.008976522668023527, 0.02356194490192348, -0.3908510860201419
not linear mode
not linear mode
0.0473045623215575, -0.004046501733704353, 0.04712388980384667, 190, 1.500983156715123, -1.466076571675237, -0.02099384663018094, 0.01069689914086004, -0.02356194490192378, -0.4712388980384691
not linear mode
not linear mode
