x,y,L,t, 1, 1
0.0, 0.0, 0.0, 12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
not linear mode
not linear mode
0.02356185437760097, -6.531347489232095e-05, 0.02356194490192345, 34, 0.01745329251994329, 0.0, 0.02356185437760097, -6.531347489232095e-05, 0.02356194490192345, -0.002771993517873347
not linear mode
not linear mode
0.1178092718880048, -0.0003265673744616047, 0.1178097245096172, 54, 0.05235987755982988, 0.03490658503988659, 0.09424741751040386, -0.0002612538995692837, 0.09424777960769379, -0.002771993517873347
not linear mode
not linear mode
0.2827403515253086, -0.001240952509898906, 0.2827433388230815, 69, 0.1221730476396031, 0.08726646259971648, 0.1649310796373038, -0.0009143851354373012, 0.1649336143134642, -0.005543987035746695
not linear mode
not linear mode
0.5890350439588385, -0.003788151933768123, 0.5890486225480862, 88, 0.2443460952792061, 0.1919862177193762, 0.30629469243353, -0.002547199423869217, 0.3063052837250048, -0.008315980553620046
not linear mode
not linear mode
0.9895819516494333, -0.006008801548401567, 0.9896016858807847, 108, 0.3839724354387525, 0.3490658503988659, 0.4005469076905948, -0.002220649614633444, 0.4005530633326986, -0.005543987035746694
not linear mode
not linear mode
1.39013347606865, -0.007119130621571017, 1.390154749213483, 126, 0.5235987755982988, 0.5061454830783556, 0.4005515244192164, -0.001110329073169451, 0.4005530633326986, -0.002771993517873333
not linear mode
not linear mode
1.861370563620669, -0.008425400119417439, 1.861393647251953, 146, 0.6981317007977318, 0.6806784082777884, 0.4712370875520196, -0.001306269497846422, 0.4712388980384691, -0.002771993517873351
not linear mode
not linear mode
2.332607651172689, -0.007119130621571018, 2.332632545290422, 164, 0.8552113334772214, 0.8726646259971648, 0.4712370875520194, 0.001306269497846421, 0.471238898038469, 0.002771993517873351
not linear mode
not linear mode
2.780277724473941, -0.00463722811109836, 2.780309498426967, 181, 1.012290966156711, 1.047197551196598, 0.4476700733012527, 0.002481902510472659, 0.4476769531365452, 0.005543987035746666
not linear mode
not linear mode
3.369305979153807, 0.0002612323194193782, 3.369358120975054, 203, 1.221730476396031, 1.274090353955861, 0.5890282546798661, 0.004898460430517738, 0.5890486225480869, 0.008315980553620053
not linear mode
not linear mode
3.958345549287035, 0.003526893517409741, 3.95840674352314, 224, 1.448623279155294, 1.48352986419518, 0.5890395701332275, 0.003265661197990362, 0.589048622548086, 0.005543987035746701
not linear mode
not linear mode
4.712316199057566, 0.007706939850837385, 4.712388980384691, 251, 1.727875959474386, 1.762782544514273, 0.7539706497705321, 0.004180046333427643, 0.753982236861551, 0.005543987035746666
not linear mode
not linear mode
5.207115140987186, 0.009078522823576124, 5.207189823325082, 270, 1.919862177193762, 1.937315469713706, 0.4947989419296198, 0.001371582972738741, 0.4948008429403918, 0.002771993517873351
not linear mode
not linear mode
5.725475937294407, 0.00764162637594508, 5.725552611167398, 289, 2.129301687433082, 2.111848394913139, 0.518360796307221, -0.001436896447631044, 0.5183627878423156, -0.002771993517873316
not linear mode
not linear mode
6.243836733601629, 0.006204729928314034, 6.243915399009714, 308, 2.321287905152458, 2.303834612632515, 0.5183607963072219, -0.001436896447631046, 0.5183627878423165, -0.002771993517873316
not linear mode
not linear mode
6.76219752990885, 0.00476783348068299, 6.76227818685203, 328, 2.513274122871834, 2.495820830351891, 0.518360796307221, -0.001436896447631044, 0.5183627878423156, -0.002771993517873316
not linear mode
not linear mode
7.25699076882076, 0.002024678074371087, 7.257079029792422, 346, 2.705260340591211, 2.670353755551324, 0.4947932389119106, -0.002743155406311903, 0.4948008429403918, -0.005543987035746701
not linear mode
not linear mode
7.775345590538001, -0.0008491037798604733, 7.775441817634738, 365, 2.897246558310587, 2.8623399732707, 0.518354821717241, -0.002873781854231561, 0.5183627878423165, -0.005543987035746772
not linear mode
not linear mode
8.27014453246762, -0.002220686752599232, 8.27024266057513, 384, 3.07177948351002, 3.054326190990076, 0.4947989419296198, -0.001371582972738758, 0.4948008429403918, -0.002771993517873386
not linear mode
not linear mode
8.788505328774843, -0.003657583200230353, 8.788605448417448, 404, 3.263765701229397, 3.246312408709453, 0.5183607963072228, -0.001436896447631122, 0.5183627878423174, -0.002771993517873457
not linear mode
not linear mode
9.236182281911388, -0.003657583200230353, 9.236282401553993, 423, 3.420845333908886, 3.420845333908886, 0.4476769531365452, 0.0, 0.4476769531365452, 0.0
not linear mode
not linear mode
9.754545069753702, -0.003657583200230353, 9.754645189396307, 443, 3.612831551628262, 3.612831551628262, 0.5183627878423138, 0.0, 0.5183627878423138, 0.0
not linear mode
not linear mode
10.24934401168332, -0.002286000227491628, 10.2494460323367, 462, 3.787364476827695, 3.804817769347638, 0.4947989419296206, 0.001371582972738725, 0.4948008429403927, 0.002771993517873316
not linear mode
not linear mode
10.67345739048014, -0.001110357679429863, 10.67356104057132, 479, 3.944444109507184, 3.961897402027128, 0.4241133787968177, 0.001175642548061764, 0.4241150082346223, 0.002771993517873316
not linear mode
not linear mode
11.14469447803216, 0.0001959118184166099, 11.14479993860979, 498, 4.118977034706617, 4.136430327226561, 0.4712370875520203, 0.001306269497846473, 0.4712388980384699, 0.002771993517873457
not linear mode
not linear mode
11.56880785682898, 0.001371554366478434, 11.56891494684442, 516, 4.276056667386107, 4.293509959906051, 0.4241133787968177, 0.001175642548061824, 0.4241150082346223, 0.002771993517873457
not linear mode
not linear mode
12.040044944381, 0.002677823864324836, 12.04015384488288, 536, 4.450589592585541, 4.468042885105484, 0.4712370875520185, 0.001306269497846402, 0.4712388980384681, 0.002771993517873316
not linear mode
not linear mode
12.55840574068822, 0.004114720311955885, 12.5585166327252, 558, 4.642575810304916, 4.660029102824859, 0.5183607963072228, 0.001436896447631049, 0.5183627878423174, 0.002771993517873316
not linear mode
not linear mode
12.98251911948504, 0.002939077763894126, 12.98263164095982, 576, 4.817108735504349, 4.799655442984406, 0.4241133787968159, -0.00117564254806176, 0.4241150082346206, -0.002771993517873316
not linear mode
not linear mode
13.35950878952665, 0.001894062165617004, 13.35962275939059, 594, 4.956735075663896, 4.939281783143953, 0.3769896700416151, -0.001045015598277122, 0.3769911184307748, -0.002771993517873316
not linear mode
not linear mode
13.83074587707868, 0.0005877926677705254, 13.83086165742907, 614, 5.131268000863329, 5.113814708343385, 0.4712370875520221, -0.001306269497846478, 0.4712388980384716, -0.002771993517873457
not linear mode
not linear mode
14.3962303821411, -0.0009797307296451606, 14.39634833507523, 639, 5.340707511102648, 5.323254218582705, 0.5654845050624235, -0.001567523397415686, 0.5654866776461631, -0.002771993517873316
not linear mode
not linear mode
14.77322005218271, -0.002024746327922274, 14.773339453506, 658, 5.480333851262194, 5.462880558742251, 0.3769896700416115, -0.001045015598277113, 0.3769911184307713, -0.002771993517873316
not linear mode
not linear mode
15.19733343097953, -0.003200388875984103, 15.19745446174062, 677, 5.637413483941685, 5.619960191421741, 0.4241133787968194, -0.001175642548061829, 0.4241150082346241, -0.002771993517873457
not linear mode
not linear mode
15.59788649431223, -0.003200388875984103, 15.59800752507333, 695, 5.777039824101231, 5.777039824101231, 0.4005530633326995, 0.0, 0.4005530633326995, 0.0
not linear mode
not linear mode
15.99843801873145, -0.004310717949153601, 15.99856058840602, 714, 5.934119456780721, 5.916666164260777, 0.4005515244192155, -0.001110329073169498, 0.4005530633326977, -0.002771993517873457
not linear mode
not linear mode
16.3518671922603, -0.004310717949153601, 16.35198976193488, 731, 6.056292504420323, 6.056292504420323, 0.3534291735288519, 0.0, 0.3534291735288519, 0.0
not linear mode
not linear mode
16.72885831069108, -0.004310717949153601, 16.72898088036565, 750, 6.19591884457987, 6.19591884457987, 0.3769911184307766, 0.0, 0.3769911184307766, 0.0
not linear mode
not linear mode
17.1529733189257, -0.004310717949153601, 17.15309588860027, 770, 6.35299847725936, 6.35299847725936, 0.4241150082346223, 0.0, 0.4241150082346223, 0.0
not linear mode
not linear mode
17.52996443735647, -0.004310717949153601, 17.53008700703105, 788, 6.492624817418905, 6.492624817418905, 0.376991118430773, 0.0, 0.376991118430773, 0.0
not linear mode
not linear mode
17.93051596177568, -0.003200388875984217, 17.93064007036374, 809, 6.632251157578453, 6.649704450098395, 0.4005515244192155, 0.001110329073169384, 0.4005530633326977, 0.002771993517873174
not linear mode
not linear mode
18.2603819230621, -0.002286000227491773, 18.26050729899068, 827, 6.754424205218056, 6.771877497737998, 0.3298659612864161, 0.0009143886484924435, 0.3298672286269309, 0.002771993517873174
not linear mode
not linear mode
18.61381109659095, -0.002286000227491773, 18.61393647251953, 845, 6.894050545377602, 6.894050545377602, 0.3534291735288519, 0.0, 0.3534291735288519, 0.0
not linear mode
not linear mode
18.99080221502173, -0.002286000227491773, 18.9909275909503, 864, 7.033676885537147, 7.033676885537147, 0.376991118430773, 0.0, 0.376991118430773, 0.0
not linear mode
not linear mode
19.3677933334525, -0.002286000227491773, 19.36791870938108, 884, 7.173303225696695, 7.173303225696695, 0.3769911184307766, 0.0, 0.3769911184307766, 0.0
not linear mode
not linear mode
19.72122114911652, -0.001306298104106969, 19.72134788290993, 903, 7.295476273336297, 7.312929565856241, 0.3534278156640147, 0.0009797021233848037, 0.3534291735288519, 0.002771993517873316
not linear mode
not linear mode
