x,y,L,t, 1, 1
0.0, 0.0, 0.0, 11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
not linear mode
not linear mode
0.0, 0.0, 0.0, 35, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
not linear mode
not linear mode
0.0, 0.0, 0.0, 55, -0.05235987755982988, 0.05235987755982988, 0.0, 0.0, 0.0, 0.01663196110724008
not linear mode
not linear mode
-0.02352927315399099, -0.00124038397528955, -0.02356194490192345, 75, -0.1745329251994329, 0.1570796326794897, -0.02352927315399099, -0.00124038397528955, -0.02356194490192345, 0.05266787683959359
not linear mode
not linear mode
-0.02352927315399095, -0.001240383975289546, -0.02356194490192341, 92, -0.3316125578789226, 0.3141592653589793, 3.796336305283121e-17, 3.907375866457939e-18, 3.816391647148976e-17, 0.1025637601613138
not linear mode
not linear mode
-0.02352927315399103, -0.001240383975289557, -0.02356194490192348, 110, -0.5061454830783556, 0.4886921905584122, -7.19508163168629e-17, -1.146404991939477e-17, -7.28583859910259e-17, 0.1580036305187808
not linear mode
not linear mode
-0.02352927315399088, -0.001240383975289522, -0.02356194490192333, 130, -0.7504915783575616, 0.7330382858376185, 1.450641918292892e-16, 3.482683116133566e-17, 1.491862189340054e-16, 0.2356194490192345
not linear mode
not linear mode
-0.001434984886532559, 0.0069454375177388, 0.0, 159, -1.117010721276371, 1.117010721276371, 0.02209428826745832, 0.008185821493028323, 0.02356194490192333, 0.3548151702877884
not linear mode
not linear mode
-0.02268913650639514, -0.003224433989864956, -0.02356194490192348, 181, -1.413716694115407, 1.396263401595464, -0.02125415161986258, -0.01016987150760376, -0.02356194490192348, 0.4462909563776089
not linear mode
not linear mode
-0.02268913650639514, -0.003224433989864956, -0.02356194490192348, 200, -1.6929693744345, 1.675516081914556, 0.0, 0.0, 0.0, 0.534994748949556
not linear mode
not linear mode
-0.0226891365063949, -0.003224433989864782, -0.02356194490192318, 219, -1.972222054753592, 1.954768762233649, 2.421960425871175e-16, 1.742618392948932e-16, 2.983724378680108e-16, 0.6236985415215032
not linear mode
not linear mode
-0.004900364378430233, 0.01222628876800682, 0.0, 239, -2.251474735072685, 2.251474735072685, 0.01778877212796466, 0.0154507227578716, 0.02356194490192318, 0.7151743276113235
not linear mode
not linear mode
-0.0214840250970784, -0.004511316936814225, -0.02356194490192379, 254, -2.495820830351891, 2.478367537831948, -0.01658366071864817, -0.01673760570482104, -0.02356194490192379, 0.7900181525939038
not linear mode
not linear mode
-0.006498651772391888, 0.0136711975724902, 0.0, 273, -2.775073510670984, 2.775073510670984, 0.01498537332468652, 0.01818251450930443, 0.02356194490192379, 0.8814939386837244
not linear mode
not linear mode
-0.006498651772391888, 0.0136711975724902, 0.0, 292, -3.07177948351002, 3.07177948351002, 0.0, 0.0, 0.0, 0.9757417182914182
not linear mode
not linear mode
-0.006498651772391888, 0.0136711975724902, 0.0, 311, -3.368485456349056, 3.368485456349056, 0.0, 0.0, 0.0, 1.069989497899112
not linear mode
not linear mode
-0.006498651772391888, 0.0136711975724902, 0.0, 330, -3.665191429188092, 3.665191429188092, 0.0, 0.0, 0.0, 1.164237277506806
not linear mode
not linear mode
-0.006498651772391888, 0.0136711975724902, 0.0, 349, -3.961897402027128, 3.961897402027128, 0.0, 0.0, 0.0, 1.258485057114499
not linear mode
not linear mode
-0.006498651772391888, 0.0136711975724902, 0.0, 369, -4.276056667386107, 4.276056667386107, 0.0, 0.0, 0.0, 1.35827682375794
not linear mode
not linear mode
-0.006498651772391888, 0.0136711975724902, 0.0, 389, -4.572762640225144, 4.572762640225144, 0.0, 0.0, 0.0, 1.452524603365634
not linear mode
not linear mode
-0.006498651772391888, 0.0136711975724902, 0.0, 410, -4.904375198104066, 4.904375198104066, 0.0, 0.0, 0.0, 1.557860357044821
not linear mode
not linear mode
-0.008477496023389774, 0.03714989904832904, 0.02356194490192318, 429, -5.201081170943102, 5.218534463463045, -0.001978844250997886, 0.02347870147583883, 0.02356194490192318, 1.654880130170388
not linear mode
not linear mode
-0.00436218668609442, 0.01395012584642825, 0.0, 447, -5.497787143782138, 5.497787143782138, 0.004115309337295354, -0.02319977320190078, -0.02356194490192318, 1.746355916260208
not linear mode
not linear mode
-0.01032717721711021, 0.03674451409279617, 0.02356194490192318, 463, -5.742133239061344, 5.759586531581287, -0.005964990531015792, 0.02279438824636792, 0.02356194490192318, 1.826743728278536
not linear mode
not linear mode
-0.01032717721711021, 0.03674451409279617, 0.02356194490192318, 484, -6.056292504420323, 6.073745796940266, -0.0, 0.0, 0.0, 1.926535494921976
not linear mode
not linear mode
-0.01032717721711021, 0.03674451409279617, 0.02356194490192318, 502, -6.335545184739416, 6.35299847725936, -0.0, 0.0, 0.0, 2.015239287493923
not linear mode
not linear mode
-0.01032717721711083, 0.0367445140927972, 0.02356194490192439, 522, -6.649704450098395, 6.667157742618339, -6.215381768207014e-16, 1.026995242147469e-15, 1.200428645375951e-15, 2.115031054137364
not linear mode
not linear mode
-0.02442196094774093, 0.05562578309538208, 0.04712388980384636, 541, -6.946410422937432, 6.981317007977318, -0.0140947837306301, 0.01888126900258487, 0.02356194490192198, 2.212050827262931
not linear mode
not linear mode
-0.07398701758056005, 0.1060221360292715, 0.1178097245096183, 571, -7.347836150896127, 7.435102613495844, -0.04956505663281912, 0.05039635293388944, 0.07068583470577194, 2.347878509638725
not linear mode
not linear mode
-0.2913440789391109, 0.2868527294762815, 0.4005530633326977, 595, -7.557275661135447, 7.853981633974483, -0.2173570613585509, 0.18083059344701, 0.2827433388230794, 2.447670276282166
not linear mode
not linear mode
-0.578040138861976, 0.4935349733338319, 0.7539822368615491, 618, -7.644542123735164, 8.203047484373348, -0.286696059922865, 0.2066822438575504, 0.3534291735288514, 2.516970114228999
not linear mode
not linear mode
-0.912418368533511, 0.71406605066068, 1.154535300194249, 639, -7.62708883121522, 8.482300164692441, -0.3343782296715349, 0.2205310773268481, 0.4005530633327, 2.558550016997099
not linear mode
not linear mode
-1.211177947230946, 0.9028910882955719, 1.507964473723101, 654, -7.557275661135447, 8.674286382411818, -0.2987595786974348, 0.1888250376348919, 0.3534291735288515, 2.577953971622212
not linear mode
not linear mode
-1.55036404614347, 1.115953395731008, 1.908517537055799, 671, -7.4176493209759, 8.831366015091307, -0.3391860989125244, 0.213062307435436, 0.4005530633326988, 2.580725965140086
not linear mode
not linear mode
-1.906978847434392, 1.345516946213422, 2.332632545290424, 692, -7.225663103256523, 8.953539062730911, -0.3566148012909217, 0.2295635504824141, 0.4241150082346243, 2.569637991068593
not linear mode
not linear mode
-2.199293251242016, 1.544173609902004, 2.686061718819272, 710, -7.016223593017205, 9.00589894029074, -0.2923144038076233, 0.1986566636885818, 0.353429173528848, 2.544690049407732
not linear mode
not linear mode
