x,y,L,t, 1, 1
0.0, 0.0, 0.0, 12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
not linear mode
not linear mode
0.0, 0.0, 0.0, 37, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
not linear mode
not linear mode
0.04711737219869966, -0.0007837265685878279, 0.04712388980384691, 55, 0.06981317007977318, -0.03490658503988659, 0.04711737219869966, -0.0007837265685878279, 0.04712388980384691, -0.01663196110724008
not linear mode
not linear mode
0.07065316039564279, -0.0018936461647336, 0.07068583470577034, 72, 0.1745329251994329, -0.1221730476396031, 0.02353578819694313, -0.001109919596145772, 0.02356194490192343, -0.04712388980384691
not linear mode
not linear mode
0.07065316039564276, -0.001893646164733598, 0.0706858347057703, 91, 0.3316125578789226, -0.2792526803190927, -2.762504870362502e-17, 2.688617093830933e-18, -2.775557561562891e-17, -0.09701977312556714
not linear mode
not linear mode
0.09374738259588844, -0.006565064421211014, 0.09424777960769363, 122, 0.6632251157578452, -0.5934119456780721, 0.02309422220024568, -0.004671418256477416, 0.02356194490192333, -0.199583533286881
not linear mode
not linear mode
0.1162804896997876, -0.01345159706148084, 0.1178097245096174, 147, 0.9773843811168245, -0.8901179185171079, 0.02253310710389916, -0.006886532640269825, 0.02356194490192379, -0.2966033064124481
not linear mode
not linear mode
0.09437314736818431, -0.004777866634079116, 0.09424777960769363, 165, 1.221730476396031, -1.151917306316258, -0.0219073423316033, 0.008673730427401722, -0.02356194490192379, -0.3769911184307752
not linear mode
not linear mode
0.09437314736818458, -0.004777866634079244, 0.09424777960769394, 183, 1.466076571675237, -1.396263401595464, 2.618337158059179e-16, -1.279711522755928e-16, 2.914335439641036e-16, -0.4546069369312289
not linear mode
not linear mode
0.1144402228234391, -0.01712605395993338, 0.1178097245096171, 204, 1.780235837034216, -1.6929693744345, 0.02006707545525455, -0.01234818732585414, 0.02356194490192319, -0.551626710056796
not linear mode
not linear mode
0.1335277976701576, -0.03094016754105806, 0.1413716694115409, 220, 2.024581932313422, -1.919862177193762, 0.01908757484671844, -0.01381411358112467, 0.02356194490192377, -0.6264705350393766
not linear mode
not linear mode
0.1159548737753662, -0.01524438487980919, 0.1178097245096171, 242, 2.338741197672401, -2.251474735072685, -0.01757292389479141, 0.01569578266124887, -0.02356194490192377, -0.7290342952006902
not linear mode
not linear mode
0.1321158484319596, -0.03239046739769749, 0.1413716694115409, 260, 2.617993877991494, -2.513274122871834, 0.01616097465659348, -0.01714608251788831, 0.02356194490192377, -0.8149660942547643
not linear mode
not linear mode
0.13211584843196, -0.03239046739769797, 0.1413716694115415, 279, 2.914699850830531, -2.80998009571087, 3.751459311169437e-16, -4.817941132888302e-16, 6.106226635438361e-16, -0.9092138738624579
not linear mode
not linear mode
0.1448327448906291, -0.05222593542899729, 0.1649336143134635, 298, 3.211405823669566, -3.089232776029963, 0.01271689645866906, -0.01983546803129933, 0.02356194490192198, -1.000689659952278
not linear mode
not linear mode
0.1339809532571199, -0.03131173293633367, 0.1413716694115409, 316, 3.490658503988659, -3.385938748868999, -0.01085179163350913, 0.02091420249266362, -0.0235619449019226, -1.092165446042099
not linear mode
not linear mode
0.1339809532571197, -0.03131173293633313, 0.1413716694115403, 337, 3.804817769347638, -3.700098014227978, -2.155688146589327e-16, 5.415386674434718e-16, -5.828670879282072e-16, -1.191957212685539
not linear mode
not linear mode
0.1406589894629296, -0.05390750864762892, 0.1649336143134641, 355, 4.101523742186674, -3.979350694547071, 0.00667803620580991, -0.02259577571129578, 0.02356194490192379, -1.28343299877536
not linear mode
not linear mode
0.145245019961514, -0.07701883859264389, 0.1884955592153879, 373, 4.39822971502571, -4.258603374866164, 0.004586030498584297, -0.02311132994501497, 0.02356194490192376, -1.37490878486518
not linear mode
not linear mode
0.1430493205766561, -0.05355942360052069, 0.1649336143134635, 394, 4.71238898038469, -4.590215932745087, -0.002195699384857837, 0.0234594149921232, -0.02356194490192437, -1.477472545026494
not linear mode
not linear mode
0.1430493205766561, -0.05355942360052188, 0.1649336143134647, 412, 5.009094953223726, -4.886921905584122, -1.102781794655303e-18, -1.193489241988009e-15, 1.193489751472043e-15, -1.571720324634188
not linear mode
not linear mode
0.1430493205766562, -0.0535594236005207, 0.1649336143134635, 430, 5.288347633542818, -5.166174585903216, 1.068266895057533e-16, 1.18869922405882e-15, -1.193489751472043e-15, -1.660424117206135
not linear mode
not linear mode
0.143049320576656, -0.05355942360052186, 0.1649336143134647, 450, 5.602506898901797, -5.480333851262194, -2.247208316048591e-16, -1.172142625584284e-15, 1.193489751472043e-15, -1.760215883849575
not linear mode
not linear mode
0.136643179439639, -0.07623378364207158, 0.1884955592153867, 468, 5.88175957922089, -5.742133239061344, -0.006406141137016973, -0.02267436004154971, 0.02356194490192198, -1.846147682903649
not linear mode
not linear mode
0.1366431794396386, -0.07623378364207269, 0.1884955592153879, 486, 6.178465552059927, -6.03883921190038, -4.31138226399052e-16, -1.112896049326387e-15, 1.193489751472043e-15, -1.940395462511343
not linear mode
not linear mode
0.1247805992414815, -0.09659169214475149, 0.2120575041173086, 518, 6.684611035138281, -6.527531402458793, -0.01186258019815713, -0.02035790850267879, 0.02356194490192079, -2.098399093030123
not linear mode
not linear mode
0.1387704893911474, -0.07763257240882034, 0.1884955592153891, 540, 7.016223593017205, -6.876597252857658, 0.01398989014966593, 0.01895911973593114, -0.02356194490191957, -2.206506840227184
not linear mode
not linear mode
0.1229130056295261, -0.09505971951645456, 0.2120575041173111, 560, 7.347836150896127, -7.190756518216637, -0.0158574837616213, -0.01742714710763422, 0.02356194490192198, -2.309070600388498
not linear mode
not linear mode
0.0006157470569814611, -0.205723524241138, 0.3769911184307757, 584, 7.714355293814937, -7.435102613495844, -0.1222972585725446, -0.1106638047246835, 0.1649336143134646, -2.406090373514065
not linear mode
not linear mode
-0.1660983997652254, -0.3367761026278547, 0.5890486225480855, 603, 8.011061266653972, -7.57472895365539, -0.1667141468222069, -0.1310525783867167, 0.2120575041173098, -2.475390211460899
not linear mode
not linear mode
-0.4363292379205251, -0.5259524294552228, 0.9189158511750149, 623, 8.307767239493009, -7.62708883121522, -0.2702308381552996, -0.1891763268273681, 0.3298672286269294, -2.530830081818366
not linear mode
not linear mode
-0.7521840201938829, -0.7317631674907662, 1.295906969605788, 641, 8.552113334772214, -7.592182246175334, -0.3158547822733579, -0.2058107380355434, 0.3769911184307734, -2.564094004032846
not linear mode
not linear mode
-1.111322242571851, -0.9573585518341694, 1.720021977840412, 661, 8.761552845011535, -7.487462491055674, -0.3591382223779678, -0.2255953843434033, 0.4241150082346232, -2.580725965140086
not linear mode
not linear mode
-1.449916431762277, -1.171360261153714, 2.12057504117311, 678, 8.901179185171081, -7.330382858376185, -0.3385941891904264, -0.2140017093195443, 0.4005530633326988, -2.577953971622212
not linear mode
not linear mode
-1.784294661433812, -1.391891338480562, 2.521128104505811, 699, 8.988445647770797, -7.120943348136864, -0.3343782296715352, -0.2205310773268482, 0.4005530633327004, -2.558550016997099
not linear mode
not linear mode
-2.034735394700069, -1.56824996729955, 2.827433388230812, 718, 9.00589894029074, -6.911503837897546, -0.2504407332662563, -0.1763586288189875, 0.3063052837250013, -2.528058088300493
not linear mode
not linear mode
-2.279683030908493, -1.752161854772227, 3.13373867195582, 733, 9.023352232810684, -6.702064327658225, -0.244947636208424, -0.1839118874726779, 0.3063052837250075, -2.497566159603886
not linear mode
not linear mode
-2.570824682077236, -1.991658915986817, 3.510729790386595, 754, 9.023352232810684, -6.422811647339132, -0.2911416511687437, -0.2394970612145892, 0.3769911184307757, -2.453214263317912
not linear mode
not linear mode
-2.817251276621143, -2.210944852661977, 3.840597019013522, 771, 9.023352232810684, -6.178465552059927, -0.2464265945439068, -0.2192859366751598, 0.3298672286269269, -2.414406354067685
not linear mode
not linear mode
-3.088946315680991, -2.472295401017924, 4.217588137444297, 789, 9.040805525330626, -5.916666164260777, -0.271695039059848, -0.261350548355947, 0.3769911184307748, -2.375598444817459
not linear mode
not linear mode
-3.417512313201372, -2.810097834842707, 4.688827035482766, 808, 9.1106186954104, -5.637413483941685, -0.3285659975203812, -0.3378024338247838, 0.471238898038469, -2.342334522602978
not linear mode
not linear mode
-3.783344119636528, -3.209909672286658, 5.230751768227007, 828, 9.21533845053006, -5.340707511102648, -0.3658318064351561, -0.3998118374439501, 0.5419247327442411, -2.311842593906372
not linear mode
not linear mode
-4.095632694117851, -3.562814681138803, 5.701990666265475, 843, 9.337511498169663, -5.113814708343385, -0.3122885744813233, -0.3529050088521452, 0.4712388980384681, -2.295210632799131
not linear mode
not linear mode
-4.55519692021557, -4.099889578053891, 6.408849013323178, 864, 9.546951008408982, -4.799655442984406, -0.459564226097719, -0.5370748969150884, 0.706858347057703, -2.278578671691891
not linear mode
not linear mode
-4.936924998747877, -4.548511862148017, 6.997897635871265, 882, 9.756390518648303, -4.572762640225144, -0.3817280785323071, -0.4486222840941267, 0.5890486225480869, -2.275806678174018
not linear mode
not linear mode
-5.49018647077742, -5.191470573425123, 7.846127652340509, 908, 10.08800307652723, -4.276056667386107, -0.5532614720295431, -0.6429587112771058, 0.8482300164692438, -2.281350665209764
not linear mode
not linear mode
