x,y,L,t, 1, 1
0.0, 0.0, 0.0, 11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
not linear mode
not linear mode
0.0, 0.0, 0.0, 34, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
not linear mode
not linear mode
-0.02355750934645473, -0.0004571662202905953, -0.02356194490192345, 55, -0.06981317007977318, 0.05235987755982988, -0.02355750934645473, -0.0004571662202905953, -0.02356194490192345, 0.01940395462511343
not linear mode
not linear mode
-0.02355750934645472, -0.0004571662202905949, -0.02356194490192345, 74, -0.1745329251994329, 0.1570796326794897, 6.929272211237027e-18, 3.652878758721763e-19, 6.938893903907228e-18, 0.05266787683959359
not linear mode
not linear mode
-0.02355750934645468, -0.000457166220290591, -0.02356194490192341, 91, -0.3316125578789226, 0.3141592653589793, 3.796336305283121e-17, 3.907375866457939e-18, 3.816391647148976e-17, 0.1025637601613138
not linear mode
not linear mode
-0.02355750934645461, -0.0004571662202905785, -0.02356194490192333, 111, -0.5235987755982988, 0.5061454830783556, 7.530930457649204e-17, 1.242765971438482e-17, 7.632783294297951e-17, 0.1635476175545274
not linear mode
not linear mode
-0.02355750934645461, -0.0004571662202905785, -0.02356194490192333, 129, -0.7504915783575616, 0.7330382858376185, 0.0, 0.0, 0.0, 0.2356194490192345
not linear mode
not linear mode
-0.02355750934645475, -0.0004571662202906237, -0.02356194490192348, 147, -0.9773843811168245, 0.9599310885968812, -1.421797368011366e-16, -4.518241209790046e-17, -1.491862189340054e-16, 0.3076912804839416
not linear mode
not linear mode
-0.02355750934645503, -0.0004571662202907341, -0.02356194490192379, 163, -1.186823891356144, 1.169370598836201, -2.809524195283685e-16, -1.103370354542134e-16, -3.018418848199644e-16, 0.3742191249129019
not linear mode
not linear mode
-0.02355750934645476, -0.0004571662202905993, -0.02356194490192348, 183, -1.466076571675237, 1.448623279155294, 2.700733427739814e-16, 1.347921101346672e-16, 3.018418848199644e-16, 0.4629229174848489
not linear mode
not linear mode
-0.02355750934645476, -0.0004571662202905993, -0.02356194490192348, 201, -1.710422666954443, 1.6929693744345, 0.0, 0.0, 0.0, 0.5405387359853027
not linear mode
not linear mode
-0.02355750934645476, -0.0004571662202905993, -0.02356194490192348, 220, -2.007128639793479, 1.989675347273536, 0.0, 0.0, 0.0, 0.6347865155929965
not linear mode
not linear mode
-0.04117387427864722, -0.01610417661004549, -0.04712388980384697, 240, -2.303834612632515, 2.268928027592628, -0.01761636493219247, -0.01564701038975489, -0.02356194490192348, 0.7262623016828168
not linear mode
not linear mode
-0.008662307340051349, 0.01800826987862359, 0.0, 257, -2.548180707911721, 2.548180707911721, 0.03251156693859588, 0.03411244648866907, 0.04712388980384697, 0.8094221072190173
not linear mode
not linear mode
-0.02329206910876977, -0.0004615790149599467, -0.02356194490192318, 276, -2.844886680750757, 2.827433388230814, -0.01462976176871842, -0.01846984889358353, -0.02356194490192318, 0.9008978933088379
not linear mode
not linear mode
-0.009868794194395804, 0.01890284553456908, 0.0, 292, -3.036872898470133, 3.036872898470133, 0.01342327491437396, 0.01936442454952903, 0.02356194490192318, 0.9646537442199246
not linear mode
not linear mode
-0.009868794194395804, 0.01890284553456908, 0.0, 312, -3.263765701229397, 3.263765701229397, 0.0, 0.0, 0.0, 1.036725575684632
not linear mode
not linear mode
-0.009868794194395804, 0.01890284553456908, 0.0, 333, -3.455751918948773, 3.455751918948773, 0.0, 0.0, 0.0, 1.097709433077846
not linear mode
not linear mode
0.01043166256330404, 0.06142992450401882, 0.04712388980384636, 352, -3.525565089028546, 3.560471674068432, 0.02030045675769984, 0.04252707896944974, 0.04712388980384636, 1.125429368256579
not linear mode
not linear mode
0.02087561856746783, 0.08255074434000964, 0.07068583470577016, 382, -3.473205211468716, 3.525565089028546, 0.01044395600416379, 0.02112081983599082, 0.02356194490192379, 1.111569400667212
not linear mode
not linear mode
0.03207373747848479, 0.1032815759783211, 0.09424777960769394, 402, -3.351032163829113, 3.420845333908886, 0.01119811891101696, 0.02073083163831147, 0.02356194490192377, 1.075533484934859
not linear mode
not linear mode
0.01979980206141448, 0.08316899889484226, 0.07068583470577016, 421, -3.193952531149623, 3.246312408709453, -0.01227393541707031, -0.02011257708347886, -0.02356194490192377, 1.022865608095265
not linear mode
not linear mode
0.01979980206141448, 0.08316899889484226, 0.07068583470577016, 441, -2.984513020910303, 3.036872898470133, 0.0, 0.0, 0.0, 0.9563377636663049
not linear mode
not linear mode
0.03468414198469241, 0.1014343122677249, 0.09424777960769394, 460, -2.757620218151041, 2.827433388230814, 0.01488433992327792, 0.01826531337288267, 0.02356194490192377, 0.887037925719471
not linear mode
not linear mode
0.03468414198469241, 0.1014343122677249, 0.09424777960769394, 480, -2.495820830351891, 2.565634000431665, 0.0, 0.0, 0.0, 0.8038781201832707
not linear mode
not linear mode
0.01711121808990099, 0.08573852960647608, 0.07068583470577016, 498, -2.268928027592628, 2.321287905152458, -0.01757292389479141, -0.01569578266124887, -0.02356194490192377, 0.7290342952006903
not linear mode
not linear mode
0.05458529239518941, 0.1143104519290436, 0.1178097245096171, 515, -2.007128639793479, 2.094395102393195, 0.03747407430528842, 0.02857192232256755, 0.04712388980384697, 0.6514184767002366
not linear mode
not linear mode
0.05458529239518941, 0.1143104519290436, 0.1178097245096171, 535, -1.710422666954443, 1.797689129554159, 0.0, 0.0, 0.0, 0.5571706970925428
not linear mode
not linear mode
0.05458529239518969, 0.1143104519290437, 0.1178097245096174, 554, -1.43116998663535, 1.518436449235067, 2.724175645855072e-16, 1.378538349616841e-16, 3.05311331771918e-16, 0.4684669045205956
not linear mode
not linear mode
0.03258312460139885, 0.1058801577505971, 0.09424777960769394, 576, -1.117010721276371, 1.186823891356144, -0.02200216779379083, -0.008430294178446676, -0.0235619449019235, 0.3659031443592818
not linear mode
not linear mode
0.05522764646164807, 0.1123909854462105, 0.1178097245096173, 594, -0.8377580409572781, 0.9250245035569947, 0.02264452186024922, 0.006510827695613406, 0.02356194490192334, 0.2799713453052081
not linear mode
not linear mode
0.05522764646164807, 0.1123909854462105, 0.1178097245096173, 613, -0.5410520681182422, 0.6283185307179586, 0.0, 0.0, 0.0, 0.1857235656975142
not linear mode
not linear mode
0.05522764646164803, 0.1123909854462105, 0.1178097245096172, 633, -0.2268928027592628, 0.3141592653589793, -4.14797419069288e-17, -3.573228411826955e-18, -4.163336342344337e-17, 0.08593179905407375
not linear mode
not linear mode
0.05522764646164804, 0.1123909854462105, 0.1178097245096172, 654, 0.08726646259971648, 0.0, 1.387645487664319e-17, -1.923395310613738e-19, 1.387778780781446e-17, -0.01385996758936674
not linear mode
not linear mode
0.05522764646164807, 0.1123909854462105, 0.1178097245096173, 671, 0.3665191429188092, -0.2792526803190927, 2.760971858387724e-17, -2.841727902878501e-18, 2.775557561562891e-17, -0.1025637601613138
not linear mode
not linear mode
